r,DD,GAFF,GAFF2
5.0375,0.38633,0.482602,0.476818
5.0625,0.37694,0.469464,0.483496
5.0875,0.431305,0.451026,0.518183
5.1125,0.413408,0.438406,0.499184
5.1375,0.417528,0.44229,0.508146
5.1625,0.394699,0.403083,0.429392
5.1875,0.420155,0.444451,0.47402
5.2125,0.439838,0.437562,0.474849
5.2375,0.43304,0.41773,0.465012
5.2625,0.509038,0.491352,0.473765
5.2875,0.406972,0.397058,0.497974
5.3125,0.448791,0.380642,0.449393
5.3375,0.429525,0.424849,0.388904
5.3625,0.432995,0.420897,0.537373
5.3875,0.419124,0.463881,0.409343
5.4125,0.434803,0.391154,0.477727
5.4375,0.438075,0.409366,0.409246
5.4625,0.417287,0.403227,0.483679
5.4875,0.425376,0.354373,0.421187
5.5125,0.400332,0.410086,0.42697
5.5375,0.427063,0.450768,0.387467
5.5625,0.42092,0.400433,0.402838
5.5875,0.446959,0.371624,0.41325
5.6125,0.44753,0.429707,0.45817
5.6375,0.394034,0.347033,0.405952
5.6625,0.459748,0.448955,0.441022
5.6875,0.468988,0.420663,0.396592
5.7125,0.482435,0.423573,0.388661
5.7375,0.513021,0.469928,0.449495
5.7625,0.493494,0.353708,0.458774
5.7875,0.493513,0.40839,0.480933
5.8125,0.442679,0.379446,0.431498
5.8375,0.470395,0.432949,0.402141
5.8625,0.483049,0.427181,0.466586
5.8875,0.514051,0.469016,0.487866
5.9125,0.51176,0.422035,0.437876
5.9375,0.509489,0.471307,0.463143
5.9625,0.561586,0.451247,0.455167
5.9875,0.540937,0.461471,0.412743
6.0125,0.546346,0.481415,0.491988
6.0375,0.494715,0.479401,0.495921
6.0625,0.510113,0.428689,0.472007
6.0875,0.592829,0.544998,0.470105
6.1125,0.566921,0.483044,0.505285
6.1375,0.520519,0.494326,0.510853
6.1625,0.537031,0.479009,0.531668
6.1875,0.525224,0.475146,0.573074
6.2125,0.545109,0.519576,0.494815
6.2375,0.570176,0.524623,0.565797
6.2625,0.574756,0.491225,0.563147
6.2875,0.595537,0.510877,0.558678
6.3125,0.536954,0.569744,0.546944
6.3375,0.54698,0.54921,0.578935
6.3625,0.618702,0.544902,0.596001
6.3875,0.636669,0.510804,0.500231
6.4125,0.635195,0.607847,0.570789
6.4375,0.630271,0.556474,0.663104
6.4625,0.582568,0.553892,0.527085
6.4875,0.610391,0.558139,0.614821
6.5125,0.671516,0.572437,0.661668
6.5375,0.647972,0.614987,0.619096
