r,DD,GAFF,GAFF2
5.1625,0.599717,0.506673,0.480851
5.1875,0.588815,0.513749,0.510489
5.2125,0.556056,0.496999,0.58874
5.2375,0.604493,0.492266,0.490706
5.2625,0.628702,0.530721,0.544314
5.2875,0.586525,0.468214,0.499607
5.3125,0.60713,0.494739,0.552084
5.3375,0.625709,0.47883,0.51618
5.3625,0.626295,0.466389,0.530615
5.3875,0.571301,0.455741,0.532055
5.4125,0.599054,0.536205,0.51771
5.4375,0.623158,0.497109,0.56753
5.4625,0.603574,0.520277,0.540719
5.4875,0.558317,0.500294,0.538865
5.5125,0.626022,0.554714,0.54309
5.5375,0.675962,0.527249,0.520158
5.5625,0.622262,0.556662,0.581047
5.5875,0.65359,0.516384,0.581765
5.6125,0.640469,0.581783,0.532691
5.6375,0.705818,0.523162,0.584545
5.6625,0.685234,0.555797,0.546328
5.6875,0.720518,0.535302,0.594264
5.7125,0.687406,0.548925,0.519854
5.7375,0.751391,0.548337,0.57695
5.7625,0.681078,0.524225,0.583061
5.7875,0.680707,0.551245,0.580787
5.8125,0.689861,0.547873,0.626287
5.8375,0.740737,0.558017,0.616875
5.8625,0.675464,0.545249,0.579435
5.8875,0.708276,0.606882,0.553246
5.9125,0.761592,0.614899,0.586819
5.9375,0.746047,0.549801,0.618501
5.9625,0.787742,0.561996,0.549788
5.9875,0.747772,0.590623,0.623645
6.0125,0.735195,0.612403,0.645248
6.0375,0.792301,0.568281,0.604505
6.0625,0.784527,0.609841,0.634649
6.0875,0.725892,0.56642,0.621983
6.1125,0.70394,0.576548,0.624309
6.1375,0.808268,0.57308,0.643708
6.1625,0.813853,0.593838,0.651849
6.1875,0.825336,0.54946,0.621306
6.2125,0.77813,0.602169,0.618705
6.2375,0.748227,0.577283,0.560437
6.2625,0.759882,0.617186,0.682916
6.2875,0.748025,0.570461,0.646012
6.3125,0.843834,0.671996,0.596944
6.3375,0.786729,0.636971,0.589948
6.3625,0.856794,0.637649,0.655924
6.3875,0.817361,0.63717,0.660968
6.4125,0.80988,0.652317,0.622192
6.4375,0.871402,0.658344,0.604021
6.4625,0.837101,0.663158,0.674414
6.4875,0.809868,0.675518,0.635272
6.5125,0.89163,0.669258,0.678228
6.5375,0.838481,0.623312,0.65795
6.5625,0.79788,0.665498,0.647595
6.5875,0.80988,0.676333,0.696866
6.6125,0.836424,0.635513,0.623078
6.6375,0.81027,0.667224,0.628857
6.6625,0.841557,0.673608,0.68438
6.6875,0.834247,0.666527,0.683396
6.7125,0.852579,0.667688,0.65683
6.7375,0.821911,0.621257,0.667197
6.7625,0.820881,0.648812,0.646145
6.7875,0.848839,0.722802,0.655403
6.8125,0.839643,0.646251,0.681393
6.8375,0.852234,0.620902,0.688252
6.8625,0.844079,0.706114,0.659754
6.8875,0.833108,0.613856,0.681211
6.9125,0.874328,0.678633,0.657962
6.9375,0.870909,0.637487,0.673342
6.9625,0.890321,0.678396,0.676123
6.9875,0.848112,0.669788,0.701507
7.0125,0.898277,0.702381,0.68339
7.0375,0.834244,0.699255,0.693436
7.0625,0.877292,0.683263,0.680217
7.0875,0.861944,0.649192,0.713053
7.1125,0.867732,0.657347,0.648817
7.1375,0.916818,0.662668,0.694953
7.1625,0.846681,0.726093,0.694603
7.1875,0.870225,0.611693,0.64427
7.2125,0.842952,0.694871,0.696526
7.2375,0.802844,0.701477,0.709324
7.2625,0.848851,0.651374,0.636276
7.2875,0.870791,0.668533,0.662299
7.3125,0.873461,0.643355,0.715538
7.3375,0.872652,0.679075,0.721802
7.3625,0.856539,0.671082,0.713507
7.3875,0.880292,0.722093,0.666452
7.4125,0.837478,0.64952,0.684617
7.4375,0.865165,0.686677,0.717523
7.4625,0.859378,0.678785,0.657262
7.4875,0.881583,0.657874,0.673437
7.5125,0.92143,0.690939,0.71307
7.5375,0.877223,0.704149,0.737558
7.5625,0.899621,0.681833,0.748004
7.5875,0.900904,0.67974,0.736677
7.6125,0.817896,0.716497,0.735028
7.6375,0.901781,0.692917,0.724692
7.6625,0.899044,0.67041,0.723897
7.6875,0.869824,0.644296,0.712176
7.7125,0.861871,0.708076,0.685867
7.7375,0.841692,0.701206,0.709161
7.7625,0.868385,0.71804,0.708426
7.7875,0.878009,0.661936,0.687162
7.8125,0.879191,0.696085,0.734885
7.8375,0.874341,0.698381,0.734707
7.8625,0.836005,0.680573,0.714383
7.8875,0.883281,0.720563,0.699488
7.9125,0.890216,0.658061,0.724527
7.9375,0.873651,0.696204,0.703141
7.9625,0.919029,0.691115,0.707458
7.9875,0.879352,0.702634,0.735551
8.0125,0.89181,0.744043,0.690758
8.0375,0.865594,0.689653,0.751403
8.0625,0.909127,0.729191,0.724767
8.0875,0.931684,0.712752,0.727341
8.1125,0.907754,0.709064,0.723565
8.1375,0.850015,0.718586,0.706595
8.1625,0.926394,0.680412,0.718187
8.1875,0.946169,0.771501,0.699367
8.2125,0.924027,0.746381,0.729974
8.2375,0.874304,0.724936,0.757479
8.2625,0.921648,0.723919,0.705635
8.2875,0.912072,0.717552,0.755079
8.3125,0.913927,0.703937,0.741871
8.3375,0.955501,0.679239,0.760639
8.3625,0.895127,0.72904,0.781806
8.3875,0.867537,0.751469,0.766668
8.4125,0.911854,0.767778,0.765375
8.4375,0.932339,0.734847,0.731708
8.4625,0.907543,0.751677,0.775669
8.4875,0.887498,0.731953,0.714153
8.5125,0.917889,0.731463,0.736048
8.5375,0.899883,0.730967,0.755776
8.5625,0.891494,0.763666,0.743824
8.5875,0.896305,0.745524,0.763879
8.6125,0.927747,0.767209,0.752614
8.6375,0.917445,0.756618,0.76989
8.6625,0.877169,0.756542,0.756238
8.6875,0.947195,0.727851,0.768383
8.7125,0.913247,0.751514,0.768231
8.7375,0.882085,0.744813,0.777125
8.7625,0.926851,0.761506,0.760089
8.7875,0.904883,0.747662,0.720549
8.8125,0.904501,0.761169,0.753863
8.8375,0.899981,0.739814,0.780296
8.8625,0.8867,0.787107,0.778248
8.8875,0.912625,0.772218,0.74878
8.9125,0.877359,0.748232,0.749808
8.9375,0.908786,0.740602,0.777937
8.9625,0.903723,0.750771,0.782786
8.9875,0.933487,0.756835,0.749902
9.0125,0.892022,0.753207,0.767314
9.0375,0.915855,0.768166,0.707763
9.0625,0.920904,0.767848,0.752135
9.0875,0.934251,0.77086,0.75805
9.1125,0.928577,0.714089,0.775547
9.1375,0.887644,0.748144,0.833146
9.1625,0.91847,0.770875,0.785775
9.1875,0.896016,0.743832,0.731261
9.2125,0.94489,0.752248,0.759888
9.2375,0.924668,0.700814,0.77901
9.2625,0.91002,0.770381,0.759229
9.2875,0.923817,0.728965,0.790953
9.3125,0.901867,0.782256,0.781928
9.3375,0.946176,0.773332,0.787264
9.3625,0.907499,0.73148,0.80936
9.3875,0.931419,0.776061,0.780469
9.4125,0.936356,0.770389,0.77841
9.4375,0.897787,0.751873,0.777397
9.4625,0.913626,0.774067,0.788225
9.4875,0.917517,0.732743,0.785613
9.5125,0.970731,0.767981,0.767225
9.5375,0.917543,0.742753,0.743443
9.5625,0.942472,0.738875,0.776867
9.5875,0.942073,0.744021,0.758277
9.6125,0.899293,0.793343,0.791257
9.6375,0.916454,0.769452,0.745466
9.6625,0.958093,0.793517,0.829008
9.6875,0.898184,0.742443,0.754983
9.7125,0.915539,0.773196,0.793128
9.7375,0.937562,0.784731,0.811425
9.7625,0.894102,0.785537,0.803888
9.7875,0.917429,0.80742,0.786313
9.8125,0.911803,0.767534,0.791408
9.8375,0.907651,0.788317,0.775958
9.8625,0.917735,0.782437,0.802835
9.8875,0.948908,0.762042,0.827544
9.9125,0.955378,0.791392,0.832758
9.9375,0.953376,0.792066,0.806167
9.9625,0.925393,0.814474,0.810951
9.9875,0.938313,0.776328,0.748666
10.0125,0.955228,0.794447,0.787697
10.0375,0.971048,0.770892,0.797962
10.0625,0.938025,0.804263,0.794002
10.0875,0.952393,0.827364,0.804568
10.1125,0.955347,0.794084,0.797439
10.1375,0.917922,0.804027,0.798445
10.1625,0.891111,0.816086,0.773096
10.1875,0.898726,0.810315,0.777302
