r,DD,GAFF,GAFF2
5.2125,0.518851,0.466557,0.614353
5.2375,0.521736,0.535216,0.5527
5.2625,0.550382,0.599967,0.552726
5.2875,0.560547,0.504648,0.524046
5.3125,0.605994,0.606489,0.557867
5.3375,0.600331,0.565627,0.606383
5.3625,0.612166,0.597723,0.544977
5.3875,0.611428,0.560112,0.620293
5.4125,0.615564,0.559839,0.579742
5.4375,0.609917,0.588615,0.525116
5.4625,0.630727,0.544837,0.530092
5.4875,0.639252,0.60172,0.626939
5.5125,0.605208,0.612773,0.657246
5.5375,0.620759,0.621266,0.539601
5.5625,0.679948,0.574031,0.581877
5.5875,0.669293,0.628549,0.607034
5.6125,0.570203,0.616141,0.564614
5.6375,0.655222,0.648997,0.637597
5.6625,0.656145,0.56957,0.650166
5.6875,0.727816,0.569002,0.639956
5.7125,0.651287,0.592563,0.676807
5.7375,0.660841,0.628747,0.679779
5.7625,0.678824,0.634087,0.669503
5.7875,0.649472,0.59441,0.665908
5.8125,0.705321,0.633824,0.647247
5.8375,0.701393,0.592678,0.695191
5.8625,0.647535,0.660567,0.693516
5.8875,0.745271,0.626043,0.601421
5.9125,0.669382,0.610516,0.627623
5.9375,0.669847,0.658205,0.649228
5.9625,0.702485,0.618451,0.639694
5.9875,0.634753,0.613297,0.646563
6.0125,0.680953,0.608207,0.596838
6.0375,0.698883,0.6523,0.709886
6.0625,0.732071,0.559245,0.600916
6.0875,0.666208,0.689944,0.664834
6.1125,0.670346,0.563551,0.630144
6.1375,0.670595,0.581784,0.630826
6.1625,0.765034,0.669481,0.642992
6.1875,0.710267,0.615445,0.550227
6.2125,0.622982,0.543699,0.587357
6.2375,0.691569,0.581687,0.612634
6.2625,0.624021,0.569748,0.626339
6.2875,0.62993,0.581531,0.636118
6.3125,0.686008,0.603893,0.62926
6.3375,0.668135,0.593789,0.627935
6.3625,0.613398,0.605054,0.552787
6.3875,0.677009,0.603838,0.650301
6.4125,0.631714,0.616555,0.64524
6.4375,0.628544,0.575484,0.640238
6.4625,0.644252,0.545318,0.603879
6.4875,0.659699,0.568349,0.647726
6.5125,0.649582,0.58088,0.598079
