r,DD,GAFF,GAFF2
5.0375,0.706084,0.662447,0.673954
5.0625,0.753045,0.618286,0.615152
5.0875,0.718968,0.621097,0.589529
5.1125,0.84941,0.648426,0.617288
5.1375,0.766122,0.624728,0.627014
5.1625,0.746622,0.630756,0.608848
5.1875,0.684669,0.575194,0.633828
5.2125,0.730671,0.53757,0.59892
5.2375,0.730429,0.589379,0.63859
5.2625,0.743464,0.504185,0.594251
5.2875,0.835303,0.5175,0.623272
5.3125,0.745856,0.587503,0.54555
5.3375,0.785774,0.512686,0.569578
5.3625,0.704782,0.499931,0.533821
5.3875,0.776017,0.54594,0.566996
5.4125,0.836475,0.56129,0.553902
5.4375,0.766485,0.523518,0.534788
5.4625,0.723981,0.567994,0.563892
5.4875,0.760229,0.541477,0.566421
5.5125,0.739707,0.495766,0.533988
5.5375,0.767592,0.546721,0.557741
5.5625,0.711582,0.537365,0.560188
5.5875,0.765719,0.494316,0.51532
5.6125,0.761837,0.497213,0.550252
5.6375,0.771038,0.549175,0.549734
5.6625,0.771427,0.51139,0.547766
5.6875,0.70343,0.494125,0.507334
5.7125,0.742455,0.541887,0.541044
5.7375,0.75279,0.474388,0.540541
5.7625,0.783725,0.503477,0.527531
5.7875,0.746715,0.486796,0.538123
5.8125,0.725309,0.532918,0.6181
5.8375,0.773178,0.545886,0.547883
5.8625,0.694226,0.553268,0.564681
5.8875,0.709605,0.499551,0.538616
5.9125,0.761592,0.495336,0.581544
5.9375,0.717302,0.555013,0.550505
5.9625,0.693161,0.541325,0.519965
5.9875,0.704087,0.566281,0.53492
6.0125,0.739018,0.537441,0.564911
6.0375,0.787247,0.477557,0.538743
6.0625,0.764475,0.586098,0.610818
6.0875,0.743294,0.534195,0.59586
6.1125,0.73476,0.553191,0.581125
6.1375,0.744683,0.558448,0.584967
6.1625,0.718034,0.557555,0.565664
6.1875,0.814508,0.557857,0.585184
6.2125,0.837802,0.568847,0.613927
6.2375,0.805054,0.577283,0.61257
6.2625,0.786894,0.565656,0.624145
6.2875,0.798127,0.619258,0.623856
6.3125,0.759451,0.600531,0.592316
6.3375,0.720213,0.618674,0.637006
6.3625,0.805591,0.656937,0.576211
6.3875,0.78575,0.588763,0.581878
6.4125,0.790837,0.607638,0.604255
6.4375,0.829166,0.651694,0.605133
6.4625,0.783059,0.574077,0.5828
6.4875,0.783602,0.607857,0.62651
6.5125,0.746102,0.654097,0.59671
6.5375,0.802916,0.583549,0.684915
6.5625,0.812853,0.656966,0.611201
6.5875,0.816248,0.607535,0.644813
6.6125,0.873294,0.618706,0.664195
6.6375,0.824907,0.62031,0.657109
6.6625,0.807314,0.619802,0.693727
6.6875,0.833217,0.609015,0.660719
6.7125,0.788176,0.660552,0.677292
6.7375,0.868587,0.633399,0.650949
6.7625,0.872249,0.65986,0.67941
6.7875,0.839841,0.58522,0.63439
6.8125,0.779101,0.637344,0.696292
6.8375,0.850263,0.646446,0.626132
6.8625,0.821584,0.608584,0.655838
6.8875,0.832137,0.62257,0.65886
6.9125,0.803957,0.609424,0.677257
6.9375,0.812529,0.671842,0.669511
6.9625,0.881769,0.640497,0.685633
6.9875,0.907546,0.65944,0.676959
7.0125,0.842076,0.693041,0.695576
7.0375,0.872375,0.627845,0.702743
7.0625,0.86898,0.663004,0.649718
7.0875,0.836269,0.664736,0.665332
7.1125,0.873195,0.643728,0.685267
7.1375,0.883364,0.669881,0.655138
7.1625,0.827826,0.651783,0.673936
7.1875,0.855959,0.673929,0.696918
7.2125,0.824357,0.679861,0.724884
7.2375,0.842414,0.648867,0.721645
7.2625,0.882909,0.630474,0.692213
7.2875,0.898545,0.695344,0.695284
7.3125,0.827807,0.670842,0.6914
7.3375,0.876075,0.624476,0.652447
7.3625,0.880332,0.665998,0.654827
7.3875,0.927556,0.724618,0.710375
7.4125,0.81652,0.698004,0.695523
7.4375,0.84518,0.701623,0.679189
7.4625,0.826293,0.653217,0.694512
7.4875,0.871724,0.670982,0.718662
7.5125,0.860219,0.681987,0.69755
7.5375,0.854522,0.675853,0.692119
7.5625,0.868211,0.693076,0.717374
7.5875,0.8681,0.663784,0.700644
7.6125,0.891022,0.679246,0.687299
7.6375,0.833081,0.704728,0.674904
7.6625,0.887277,0.69779,0.700343
7.6875,0.895544,0.677715,0.673174
7.7125,0.905235,0.658657,0.685092
7.7375,0.872467,0.681259,0.755361
7.7625,0.883674,0.69441,0.68777
7.7875,0.90839,0.696018,0.722888
7.8125,0.850514,0.667489,0.720535
7.8375,0.868342,0.663238,0.742962
7.8625,0.864319,0.733325,0.70618
7.8875,0.902531,0.745665,0.728386
7.9125,0.867409,0.681537,0.692865
7.9375,0.882424,0.708598,0.708995
7.9625,0.908858,0.70995,0.740177
7.9875,0.906065,0.696154,0.695811
8.0125,0.832261,0.708272,0.725942
8.0375,0.880567,0.697474,0.743554
8.0625,0.87724,0.722125,0.746751
8.0875,0.887318,0.698707,0.704083
8.1125,0.918252,0.730001,0.720063
8.1375,0.882708,0.709569,0.721215
8.1625,0.906345,0.743145,0.756242
8.1875,0.930365,0.718743,0.736501
8.2125,0.874854,0.746381,0.750479
8.2375,0.90485,0.697184,0.73574
8.2625,0.89466,0.766978,0.744799
8.2875,0.936886,0.704846,0.746353
8.3125,0.898595,0.661395,0.724525
8.3375,0.892552,0.757206,0.75467
8.3625,0.920156,0.731668,0.773896
8.3875,0.904203,0.712949,0.762737
8.4125,0.877359,0.744413,0.754953
8.4375,0.914223,0.72646,0.754371
8.4625,0.911402,0.674072,0.762151
8.4875,0.910517,0.733866,0.750629
8.5125,0.872758,0.713715,0.746226
8.5375,0.896723,0.736008,0.737435
8.5625,0.948666,0.732969,0.733764
8.5875,0.863826,0.736804,0.722622
8.6125,0.930231,0.705907,0.759451
8.6375,0.89028,0.731377,0.748264
8.6625,0.919523,0.730834,0.751323
8.6875,0.898371,0.744282,0.761664
8.7125,0.896257,0.749093,0.791308
8.7375,0.915872,0.700894,0.79524
8.7625,0.943048,0.713052,0.765492
8.7875,0.932322,0.717922,0.789201
8.8125,0.970337,0.704983,0.77167
8.8375,0.910596,0.760397,0.807447
8.8625,0.903707,0.742664,0.770618
8.8875,0.960444,0.755355,0.780879
8.9125,0.927809,0.731463,0.763737
8.9375,0.918012,0.776827,0.80737
8.9625,0.879639,0.729614,0.787951
8.9875,0.927785,0.759678,0.747048
