r,tip3p,tip3pc
24.2125,0.996961,0.973671
24.2375,1.00296,1.00725
24.2625,1.00124,0.996346
24.2875,1.00868,0.999418
24.3125,1.00781,0.995047
24.3375,1.00524,0.989098
24.3625,1.00798,0.987387
24.3875,1.00923,0.998145
24.4125,1.00849,0.988666
24.4375,0.994422,0.98661
24.4625,1.01132,1.00055
24.4875,0.990103,0.988035
24.5125,1.00952,1.0091
24.5375,1.01393,0.982583
24.5625,1.01496,0.996977
24.5875,1.01058,0.993795
24.6125,1.00271,0.994922
24.6375,0.989014,1.01258
24.6625,1.01257,0.995857
24.6875,0.994742,1.00821
24.7125,0.999096,1.00904
24.7375,0.998534,1.00282
24.7625,0.986349,0.998284
24.7875,1.01654,0.992326
24.8125,1.00238,0.984597
24.8375,1.026,0.987098
24.8625,0.995298,0.980219
24.8875,1.00053,0.99414
24.9125,0.989993,1.00939
24.9375,1.02046,1.0083
24.9625,1.00849,1.00698
24.9875,1.00652,0.999031
