r,tip3p,tip3pc
6.2625,0.673788,0.756269
6.2875,0.643416,0.738556
6.3125,0.644974,0.706935
6.3375,0.691525,0.742318
6.3625,0.650225,0.742831
6.3875,0.648978,0.743279
6.4125,0.667842,0.715212
6.4375,0.66145,0.777542
6.4625,0.702332,0.684345
6.4875,0.690845,0.744978
6.5125,0.665889,0.809383
6.5375,0.742224,0.829556
6.5625,0.742543,0.733988
6.5875,0.635233,0.807679
6.6125,0.675478,0.779227
6.6375,0.694064,0.786084
6.6625,0.736886,0.788424
6.6875,0.717452,0.775714
6.7125,0.667153,0.753887
6.7375,0.71589,0.782176
6.7625,0.695848,0.776498
6.7875,0.705397,0.739614
6.8125,0.655535,0.801584
6.8375,0.705147,0.800115
6.8625,0.690092,0.797555
6.8875,0.767138,0.817738
6.9125,0.702968,0.807568
6.9375,0.750704,0.820969
6.9625,0.706822,0.802438
6.9875,0.732612,0.879651
7.0125,0.76741,0.795104
7.0375,0.742099,0.860951
7.0625,0.755713,0.830192
7.0875,0.79369,0.905059
7.1125,0.761432,0.859119
7.1375,0.745971,0.82284
7.1625,0.838925,0.818262
7.1875,0.778857,0.865139
7.2125,0.773417,0.886733
7.2375,0.765152,0.902188
7.2625,0.740201,0.807481
7.2875,0.804576,0.88411
7.3125,0.783447,0.833958
7.3375,0.787774,0.870999
7.3625,0.801655,0.820651
7.3875,0.786616,0.943024
7.4125,0.780512,0.91708
7.4375,0.786526,0.898854
7.4625,0.843707,0.906605
7.4875,0.764884,0.873174
7.5125,0.804868,0.924722
7.5375,0.783171,0.887019
7.5625,0.80616,0.848705
7.5875,0.78359,0.863736
7.6125,0.817951,0.87403
7.6375,0.768072,0.879677
7.6625,0.795891,0.858288
7.6875,0.784529,0.890878
7.7125,0.769836,0.887751
7.7375,0.758731,0.895698
7.7625,0.825401,0.847268
7.7875,0.799572,0.86818
7.8125,0.785101,0.902034
7.8375,0.73695,0.839645
7.8625,0.734827,0.870657
7.8875,0.801103,0.889953
7.9125,0.742073,0.863094
7.9375,0.754786,0.855958
7.9625,0.769644,0.853017
7.9875,0.790144,0.924938
8.0125,0.790057,0.810438
8.0375,0.826912,0.87454
8.0625,0.80977,0.881728
8.0875,0.780298,0.929645
8.1125,0.852725,0.886503
8.1375,0.834155,0.902754
8.1625,0.832239,0.897198
8.1875,0.800759,0.878771
8.2125,0.784405,0.896182
8.2375,0.802626,0.894648
8.2625,0.774112,0.880803
8.2875,0.776265,0.837456
8.3125,0.809921,0.880798
8.3375,0.811129,0.881393
8.3625,0.828572,0.865088
8.3875,0.782907,0.905909
8.4125,0.837697,0.904113
8.4375,0.838584,0.861258
8.4625,0.819177,0.903494
8.4875,0.824347,0.896784
8.5125,0.821733,0.897941
8.5375,0.819769,0.877917
8.5625,0.800147,0.883964
8.5875,0.850404,0.873959
8.6125,0.851805,0.868216
8.6375,0.8691,0.863819
8.6625,0.81986,0.886951
8.6875,0.819912,0.896023
8.7125,0.852819,0.901774
8.7375,0.85204,0.870376
8.7625,0.879626,0.882183
8.7875,0.88813,0.867871
8.8125,0.834859,0.878819
8.8375,0.854175,0.875841
8.8625,0.842066,0.879385
8.8875,0.82946,0.893247
8.9125,0.805818,0.87398
8.9375,0.823488,0.862152
8.9625,0.807841,0.873268
8.9875,0.849722,0.841029
9.0125,0.879477,0.871838
9.0375,0.872743,0.881479
9.0625,0.836934,0.845954
9.0875,0.843633,0.907175
9.1125,0.837785,0.902178
9.1375,0.807707,0.935428
9.1625,0.848423,0.900962
9.1875,0.88814,0.908121
9.2125,0.853304,0.890533
9.2375,0.816455,0.89663
9.2625,0.850166,0.863735
9.2875,0.819751,0.890495
9.3125,0.875797,0.898754
9.3375,0.828873,0.898154
9.3625,0.870005,0.891059
9.3875,0.828887,0.922294
9.4125,0.816222,0.869399
9.4375,0.869071,0.916626
9.4625,0.843644,0.914626
9.4875,0.823063,0.922934
9.5125,0.823348,0.889746
9.5375,0.859511,0.929088
9.5625,0.848235,0.911291
9.5875,0.833656,0.902139
9.6125,0.8382,0.915223
9.6375,0.863515,0.908817
9.6625,0.869668,0.919596
9.6875,0.846938,0.909325
9.7125,0.854109,0.900276
9.7375,0.855267,0.911916
9.7625,0.863981,0.915244
9.7875,0.856802,0.899951
9.8125,0.873537,0.879333
9.8375,0.876572,0.881261
9.8625,0.856099,0.886781
9.8875,0.897977,0.912239
9.9125,0.849606,0.910711
9.9375,0.889547,0.907229
9.9625,0.855163,0.931136
9.9875,0.888946,0.927466
10.0125,0.895367,0.932098
10.0375,0.884769,0.910092
10.0625,0.871139,0.873139
10.0875,0.850973,0.867841
10.1125,0.912767,0.929826
10.1375,0.874957,0.911718
10.1625,0.871138,0.926215
10.1875,0.877847,0.907782
10.2125,0.86018,0.950578
10.2375,0.806439,0.909196
10.2625,0.881433,0.901414
10.2875,0.881945,0.930936
10.3125,0.856674,0.933155
10.3375,0.870081,0.905585
10.3625,0.903106,0.925161
10.3875,0.871799,0.944944
10.4125,0.882016,0.924351
10.4375,0.873976,0.903436
10.4625,0.862726,0.900032
