,Sage 2.0.0 - ABE10_averaged,Sage 2.0.0 - Espaloma_AM1BCC,DREIDING - RESP,GAFF - RESP,GAFF2 - RESP
"Radius of Gyration (Rg, nm)",0.9624266626387362,1.2176542855411845,1.118,0.954,0.972
"Solvent Accessible Surface Area (SASA, nm**2)",29.55547742095,35.5684047896,32.43,27.94,28.89
"Relative Shape Anisotropy (K2, dimensionless)",0.1606082487657158,0.3283431927101149,0.25,0.18,0.16
