,Sage 2.0.0 - ABE10_averaged,Sage 2.0.0 - Espaloma_AM1BCC
"Radius of Gyration (Rg, nm)",0.10109049874637167,0.06911094680890804
"Solvent Accessible Surface Area (SASA, nm**2)",1.9665472814653817,0.4698019302997426
"Relative Shape Anisotropy (K2, dimensionless)",0.08285270527984458,0.045385629828644164
