,DREIDING - RESP,GAFF - RESP,GAFF2 - RESP
"Radius of Gyration (Rg, nm)",0.286,0.132,0.115
"Solvent Accessible Surface Area (SASA, nm**2)",0.89,1.4,2.03
"Relative Shape Anisotropy (K2, dimensionless)",0.17,0.11,0.15
