,DREIDING - RESP,GAFF - RESP,GAFF2 - RESP
"Radius of Gyration (Rg, nm)",1.782,0.888,1.036
"Solvent Accessible Surface Area (SASA, nm**2)",37.06,24.97,27.86
"Relative Shape Anisotropy (K2, dimensionless)",0.5,0.1,0.26
