,DREIDING - RESP,GAFF - RESP,GAFF2 - RESP
"Radius of Gyration (Rg, nm)",0.038,0.035,0.054
"Solvent Accessible Surface Area (SASA, nm**2)",0.81,1,1.08
"Relative Shape Anisotropy (K2, dimensionless)",0.04,0.05,0.08
