,CHARMM - Mulliken,CHARMM-c Mulliken
"Radius of Gyration (Rg, nm)",1.001,1.298
"Solvent Accessible Surface Area (SASA, nm**2)",25.85,30.72
"Relative Shape Anisotropy (K2, dimensionless)",0.28,0.39
